audio_file|text|speaker_name
short\short_089_Semmiképpen_nem_a_papucsra_asszociáltak_hanem_a_pongyolára.wav|Semmiképpen nem a papucsra asszociáltak, hanem a pongyolára.|vago
short\short_090_Ne_ne_ezt_nem_mondja-.wav|Ne, ne ezt nem mondja-|vago
short\short_091_Ezt_ne_mondja.wav|Ezt ne mondja!|vago
short\short_092_Tehát.wav|Tehát?|vago
short\short_093_Hát_én_nagyon_egyetértek_vele.wav|Hát én nagyon egyetértek vele.|vago
short\short_094_Az_ötvenhét_százalék_nézze_meg_kik_ülnek_itt_állandóan_jelöl.wav|Az ötvenhét százalék, nézze meg, kik ülnek itt, állandóan jelöljük meg a C-t.|vago
short\short_095_Jó.wav|Jó?|vago
short\short_096_Nézze_meg.wav|Nézze meg.|vago
short\short_097_Mindenki_szedett_már_pongyolat_pitypangot.wav|Mindenki szedett már pongyolat pitypangot.|vago
short\short_098_Ne_vacakoljunk_menjünk_tovább.wav|Ne vacakoljunk, menjünk tovább.|vago
short\short_099_Itt_a_harmadik_huszonöt_ezerért.wav|Itt a harmadik huszonöt ezerért.|vago
short\short_100_Merthogy_azt_ki_írta_volna.wav|Merthogy azt ki írta volna?|vago
short\short_101_Thomas_Mannra_gondol_biztos.wav|Thomas Mannra gondol biztos.|vago
short\short_102_sóhaj_Jó.wav|[sóhaj] Jó.|vago
short\short_103_Mit_jelöljünk_meg.wav|Mit jelöljünk meg?|vago
short\short_104_Mit_jelöljünk_meg.wav|Mit jelöljünk meg?|vago
short\short_105_Itt_a_negyedik_kérdés_ötvenezerért.wav|Itt a negyedik kérdés ötvenezerért.|vago
short\short_106_Mit_neveztek_régen_indóháznak.wav|Mit neveztek régen indóháznak?|vago
short\short_107_Megjelöljük_a_C-t.wav|Megjelöljük a C-t.|vago
short\short_108_A_vasútállomás_abból_van_hogy_indít_meg_a_ház.wav|A vasútállomás abból van, hogy indít meg a ház.|vago
short\short_109_.wav|...|vago
short\short_110_Vagyis_az_indítóház_ez_a_vasútállomás.wav|Vagyis az indítóház, ez a vasútállomás.|vago
short\short_111_Itt_az_ötödik_és_ha_ez_sikerül_akkor_százezer_garantáltan.wav|Itt az ötödik, és ha ez sikerül, akkor százezer garantáltan.|vago
short\short_112_Ki_rendezte_a_Titanic_című_1997-ben_készült_filmet.wav|Ki rendezte a Titanic című, 1997-ben készült filmet?|vago
short\short_113_Egyszer_már_Titanikra_válaszolt_ebben_a_műsorban_nem_is_olya.wav|Egyszer már Titanikra válaszolt ebben a műsorban, nem is olyan régen, a híres-|vago
short\short_114_Hajók_között.wav|Hajók között.|vago
short\short_115_Így_van.wav|Így van.|vago
short\short_116_Tehát.wav|Tehát?|vago
short\short_117_Jelöljük_meg.wav|Jelöljük meg?|vago
short\short_118_.wav|...|vago
short\short_119_Ez_nem_egy_határozott_Pali.wav|Ez nem egy határozott, Pali?|vago
short\short_120_Kérdezem_a_feleséget.wav|Kérdezem a feleséget.|vago
short\short_121_Így_van.wav|Így van?|vago
short\short_122_Tépelődős.wav|Tépelődős?|vago
short\short_123_Akkor_hall--_akkor_várok_egy_határozott_választ.wav|Akkor hall-- akkor várok egy határozott választ.|vago
short\short_124_Ezt_szeretem.wav|Ezt szeretem!|vago
short\short_125_Megjelöljük_az_A-t.wav|Megjelöljük az A-t.|vago
short\short_126_Tizenegy_Oscar-díjjal_jutalmazták_James_Cameron_filmjeit.wav|Tizenegy Oscar-díjjal jutalmazták James Cameron filmjeit.|vago
short\short_127_Igen_na.wav|Igen, na.|vago
short\short_128_Melyik_Erkel_operában_hangzik_el_a_Palotás.wav|Melyik Erkel operában hangzik el a Palotás?|vago
short\short_129_Tudja_melyik_a_palotás.wav|Tudja melyik a palotás?|vago
short\short_130_Melyiket.wav|Melyiket?|vago
short\short_131_Jó.wav|Jó.|vago
short\short_132_Kit_hívjunk_fel.wav|Kit hívjunk fel?|vago
short\short_133_Csató_Pétert.wav|Csató Pétert.|vago
short\short_134_Ő_mivel_foglalkozik.wav|Ő mivel foglalkozik?|vago
short\short_135_Zenetanár_nincsen.wav|Zenetanár nincsen?|vago
short\short_136_Debrecen.wav|Debrecen?|vago
short\short_137_Jó_estét_kívánok.wav|Jó estét kívánok!|vago
short\short_138_Vágó_István_vagyok.wav|Vágó István vagyok.|vago
short\short_139_Csató_Pétert_keresem.wav|Csató Pétert keresem.|vago
short\short_140_Tiszteletem_tanár_úr.wav|Tiszteletem tanár úr!|vago
short\short_141_Nagyon_örülök_hogy_megtaláltuk.wav|Nagyon örülök, hogy megtaláltuk.|vago
short\short_142_Nagy_Sándor_ül_velem_szemben.wav|Nagy Sándor ül velem szemben.|vago
short\short_143_Önt_ez_gondolom_nem_lepi_meg.wav|Önt ez gondolom nem lepi meg.|vago
short\short_144_Legalábbis_Sándor_ezért_hívta_fel.wav|Legalábbis Sándor ezért hívta fel.|vago
short\short_145_Átadom_neki_a_szót.wav|Átadom neki a szót.|vago
short\short_146_Harminc_másodpercünk_van.wav|Harminc másodpercünk van.|vago
short\short_147_Tessék.wav|Tessék.|vago
short\short_148_nevet_Gyorsan_jött_a_válasz.wav|[nevet] Gyorsan jött a válasz.|vago
short\short_149_jól_bízik_e_Csath_úrban.wav|jól bízik e Csath úrban.|vago
short\short_150_És_a_Hunyadi_Lászlóban_áthallás_van_így_van.wav|És a Hunyadi Lászlóban [áthallás] van, így van.|vago
short\short_151_Kérem_szépen_ez_a_siker_titka.wav|Kérem szépen, ez a siker titka.|vago
short\short_152_Alkalmasan_veged-_megválaszt.wav|Alkalmasan veged- megválaszt.|vago
short\short_153_Család_feleség_társ_barát.wav|Család, feleség, társ, barát.|vago
short\short_154_Ezt_miből_gondolja_hogy_a_marha_az_a_vagyon.wav|Ezt miből gondolja, hogy a marha az a vagyon?|vago
short\short_155_Na_ez_spekuláció_vagy_így_tanulta.wav|Na ez spekuláció, vagy így tanulta?|vago
short\short_156_Hát_akkor_menjen.wav|Hát akkor menjen.|vago
short\short_157_Lássuk.wav|Lássuk.|vago
short\short_158_Tökéletesen_jól_van_mondta.wav|Tökéletesen jól van, mondta.|vago
short\short_159_Így_van.wav|Így van,|vago
short\short_160_így_van.wav|így van.|vago
short\short_161_Háromszázezer_kilométer_óránként.wav|Háromszázezer kilométer óránként.|vago
short\short_162_Háromszázezer_kilométer_másodpercenként.wav|Háromszázezer kilométer másodpercenként.|vago
short\short_163_Az_a_leggyorsabb_ugye.wav|Az a leggyorsabb, ugye?|vago
short\short_164_Megjelöljük_a_B-t_háromszázezer_kilométer_másodpercenként.wav|Megjelöljük a B-t háromszázezer kilométer másodpercenként.|vago
short\short_165_Légüres_térben.wav|Légüres térben.|vago
short\short_166_Lássuk.wav|Lássuk.|vago
short\short_167_Hát_persze.wav|Hát persze.|vago
short\short_168_Számokban_nem_tévedsz.wav|Számokban nem tévedsz|vago
short\short_169_áthallás_kuncogás.wav|[áthallás] [kuncogás].|vago
short\short_170_Megvan_fél_millió_forint_Sándor_Nagyszerű.wav|Megvan fél millió forint, Sándor Nagyszerű!|vago
short\short_171_Melyik_sportág_kiválósága_volt_Varjú_Vilmos.wav|Melyik sportág kiválósága volt Varjú Vilmos?|vago
short\short_172_Hány_éves_Sándor.wav|Hány éves Sándor?|vago
short\short_173_Huszonhét.wav|Huszonhét.|vago
short\short_174_Ezt_a_jóval_ezt_visszautasítom-.wav|Ezt a "jóval", ezt visszautasítom-|vago
short\short_175_Mert_nekem_mintha_ma_lett_volna_ugyanis.wav|Mert nekem mintha ma lett volna ugyanis.|vago
short\short_176_Volt_a_magyar_sportnak_kiválósága.wav|Volt a magyar sportnak kiválósága?|vago
short\short_177_Tehát_a_súlylökésre_azt_mondja_hogy.wav|Tehát a súlylökésre azt mondja, hogy....|vago
short\short_178_Kérem_szépen.wav|Kérem szépen.|vago
short\short_179_Vegyük_el_belől.wav|Vegyük el belől.|vago
short\short_180_Hát_ugye_egy_jó_meg_egy_rossz_marad_ilyenkor.wav|Hát ugye egy jó meg egy rossz marad ilyenkor.|vago
short\short_181_Érdekes_amit_mondasz.wav|Érdekes amit mondasz.|vago
short\short_182_Merthogy_az_ökölvívást_jobban_figyelemmel_kíséri.wav|Merthogy az ökölvívást jobban figyelemmel kíséri,|vago
short\short_183_Igen_de_hát_itt_nagyon_nagy_a_múltidő.wav|Igen, de hát itt nagyon nagy a múltidő.|vago
short\short_184_Igen.wav|Igen.|vago
short\short_185_Mi_legyen.wav|Mi legyen?|vago
short\short_186_Eddig_jó.wav|Eddig jó.|vago
short\short_187_Tehát_úgy_döntött_hogy_kockáztat.wav|Tehát úgy döntött, hogy kockáztat.|vago
short\short_188_Igen.wav|Igen.|vago
short\short_189_Jelöljük_meg_a_B-t.wav|Jelöljük meg a B-t.|vago
short\short_190_A_B-t.wav|A B-t.|vago
short\short_191_A_B-t_amelyet_kizárták.wav|A B-t, amelyet kizárták.|vago
short\short_192_És_most_mégis_miért_a_B.wav|És most mégis miért a B?|vago
short\short_193_Megjelöljük_a_B-t.wav|Megjelöljük a B-t.|vago
short\short_194_Egyetért.wav|Egyetért.|vago
short\short_195_Még_mindig_nem_tudjuk_hogy_jól_döntött-e.wav|Még mindig nem tudjuk, hogy jól döntött-e.|vago
short\short_196_Most_fog_kiderülni.wav|Most fog kiderülni.|vago
short\short_197_De_meg_is_döntés_volt.wav|De meg is döntés volt!|vago
short\short_198_Csak_csak_leborulni_tudok_ezen.wav|Csak csak leborulni tudok ezen.|vago
short\short_199_Itt_a_tizedik_másfél_millióért.wav|Itt a tizedik másfél millióért.|vago
short\short_200_Milyen_állat_a_kazuár.wav|Milyen állat a kazuár?|vago
short\short_201_Megjelöljük_a_futómadár_C-t.wav|Megjelöljük a futómadár C-t.|vago
short\short_202_Ez_gyorsabban_jött_ez_a_döntés.wav|Ez gyorsabban jött ez a döntés.|vago
short\short_203_Ausztrália_egyébként_Ausztrália_Új-Guinea_és_nagytest.wav|Ausztrália egyébként Ausztrália Új-Guinea és nagytest.|vago
short\short_204_Nagytestű_micsoda.wav|Nagytestű micsoda?|vago
short\short_205_Nagytestű_futómadár.wav|Nagytestű futómadár.|vago
short\short_206_nevetés_Megvan.wav|[nevetés] Megvan.|vago
short\short_207_A_másfél_millió_az_már_biztos.wav|A másfél millió az már biztos.|vago
short\short_208_Na_itt_a_tizenegyedik_hárommillióért.wav|Na itt a tizenegyedik, hárommillióért.|vago
short\short_209_Hát_ezt_bizony_nyílő_lenne_tudni.wav|Hát ezt bizony nyílő lenne tudni.|vago
short\short_210_Hát_különösen_egy-.wav|Hát különösen egy-|vago
short\short_211_-muzulmánnak_igen.wav|-muzulmánnak, igen.|vago
short\short_212_Felmentem_ez_alól.wav|Felmentem ez alól.|vago
short\short_213_Történelemtanárnak_nem_feltétlen.wav|Történelemtanárnak nem feltétlen.|vago
short\short_214_Nehogy_azt_gondolja_hogy_hármat_akarok_ezzel_jelez-.wav|Nehogy azt gondolja, hogy hármat akarok ezzel jelez-|vago
short\short_215_Hány_volt_ez.wav|Hány volt ez?|vago
short\short_216_Több_mint_tíz_már_amit_csináltam.wav|Több mint tíz már amit csináltam?|vago
short\short_217_Rendben_akkor_abbahagyom.wav|Rendben, akkor abbahagyom.|vago
short\short_218_Nincs_ott_egy_fontos_szám_viszont_a_négy.wav|Nincs ott egy fontos szám, viszont a négy.|vago
short\short_219_Ahány_felesége_lehet.wav|Ahány felesége lehet?|vago
short\short_220_A_többire_tudsz_mondani_ilyeneket.wav|A többire tudsz mondani ilyeneket?|vago
short\short_221_Is.wav|Is.|vago
short\short_222_Igen.wav|Igen.|vago
short\short_223_Igen.wav|Igen.|vago
short\short_224_Túl_sok_az_öt_az_iszlámban.wav|Túl sok az öt az iszlámban?|vago
short\short_225_Aha.wav|Aha.|vago
short\short_226_Megjelöljük_a_hetet.wav|Megjelöljük a hetet.|vago
short\short_227_Jó.wav|Jó.|vago
short\short_228_B.wav|B.|vago
short\short_229_Hogy_hogy_jutott_a_héthez.wav|Hogy, hogy jutott a héthez?|vago
short\short_230_Lássalak_csodát.wav|Lássalak csodát!|vago
short\short_231_Lássalak_csodát.wav|Lássalak csodát!|vago
short\short_232_Ez.wav|Ez|vago
short\short_233_hihetetlen.wav|hihetetlen!|vago
short\short_234_Hihetetlen.wav|Hihetetlen!|vago
short\short_235_Sándor_Nézz_a_szemembe.wav|Sándor Nézz a szemembe!|vago
short\short_236_Fogalma_se_volt_vagy_itten_játszik_velem_hogy_tudta_hogy_hét.wav|Fogalma se volt, vagy itten játszik velem, hogy tudta, hogy hét?|vago
short\short_237_Le_vagyok_nyűgözve.wav|Le vagyok nyűgözve.|vago
short\short_238_Itt_a_tizenkettedik_kérdés_ötmillió_forintért.wav|Itt a tizenkettedik kérdés ötmillió forintért.|vago
short\short_239_Milyen_nemzetiségű_volt.wav|Milyen nemzetiségű volt?|vago
short\short_240_Hát_mondjak_zsant.wav|Hát mondjak zsant?|vago
short\short_241_Nem_vagyok_benne_biztos.wav|Nem vagyok benne biztos.|vago
short\short_242_Sibelius_zeneszerző.wav|Sibelius, zeneszerző.|vago
short\short_243_Német.wav|Német.|vago
short\short_244_Belga.wav|Belga.|vago
short\short_245_Finn.wav|Finn.|vago
short\short_246_Norvég.wav|Norvég.|vago
short\short_247_Hát_én_úgy_hallom_minthogyha_latinos_lenne_a_neve.wav|Hát én úgy hallom, minthogyha latinos lenne a neve.|vago
short\short_248_Olyan_meg_itten_nincs_hogy_ókori_római.wav|Olyan meg itten nincs, hogy ókori római.|vago
short\short_249_Vagy_valami_másra.wav|Vagy valami másra|vago
short\short_250_hasonlítana.wav|hasonlítana?|vago
short\short_251_Az_megzavarta_egy_kicsit_hogy_én_ezt_a_zsant_ilyen_félbe_mon.wav|Az megzavarta egy kicsit, hogy én ezt a zsant ilyen félbe mondtam ki?|vago
short\short_252_Hanem_a_kérdés_maga.wav|Hanem a kérdés maga.|vago
short\short_253_a_néhány_reggelire_a_közös_reggelire_úgy_gondolja_hogy_elég.wav|a néhány reggelire, a közös reggelire úgy gondolja, hogy elég.|vago
short\short_254_Jó_én_ezt_természetesen_tudomásul_veszem.wav|Jó én ezt természetesen tudomásul veszem.|vago
short\short_255_Bár_ugye.wav|Bár ugye...|vago
short\short_256_Ha_Jean_ha_tényleg_Jean.wav|Ha Jean, ha tényleg Jean...|vago
short\short_257_De_ön_ezt_zárta_ki.wav|De ön ezt zárta ki.|vago
short\short_258_De_én_bizonytalan_voltam_a_Jeanban.wav|De én bizonytalan voltam a Jeanban.|vago
short\short_259_Jó.wav|Jó.|vago
short\short_260_Hogyan_dönt_tehát.wav|Hogyan dönt tehát?|vago
short\short_261_Jó_rendben_van.wav|Jó, rendben van.|vago
short\short_262_Akkor_azt_kérném_szépen_hogy_ha_játékon_kívül_megjelölné.wav|Akkor azt kérném szépen, hogy ha játékon kívül megjelölné.|vago
short\short_263_Mert_egyszer_már_bejött_hogy_a_legkevésbé_valószínű_lett_vol.wav|Mert egyszer már bejött, hogy a legkevésbé valószínű lett vol-- lett a jó.|vago
short\short_264_Ezzel_szemben_finn_Sibelius_az_egyik_legnagyobb_finn_nemzeti.wav|Ezzel szemben finn Sibelius az egyik legnagyobb finn nemzeti zeneszerző.|vago
short\short_265_Okosan_döntött_és_remekül_játszott.wav|Okosan döntött és remekül játszott.|vago
short\short_266_Gratulálok.wav|Gratulálok!|vago
short\short_267_Két_csókom_a_kedves_feleségének_a_gyerekre_vigyázva_rakták.wav|Két csókom a kedves feleségének, a gyerekre vigyázva rakták.|vago
short\short_268_Köszönöm_szépen.wav|Köszönöm szépen!|vago
short\short_269_Hárommillió_forint_vagy_mennyit_hozhatott_volna.wav|Hárommillió forint vagy mennyit hozhatott volna?|vago
short\short_270_Ötmillió_forintot_hozhatott_volna.wav|Ötmillió forintot hozhatott volna.|vago
short\short_271_Na_hát_ez_a_játék_is_elment.wav|Na hát ez a játék is elment.|vago
short\short_272_Én_nagyon_remélem_hogy_az_itt_ülő_játékosjelöltek_azért_még_.wav|Én nagyon remélem, hogy az itt ülő játékosjelöltek azért még lesznek vendégeink.|vago
short\short_273_A_kedves_nézőktől_azzal_búcsúzom_hogy_olvasnivalót_ajánlok_a.wav|A kedves nézőktől azzal búcsúzom, hogy olvasnivalót ajánlok a Népszabadságból.|vago
short\short_274_Viszontlátásra.wav|Viszontlátásra!|vago
long\long_001_Én_kértem_hogy_hívja_fel_Franciskát_s_ettől_lett_ez_a_konfli.wav|Én kértem, hogy hívja fel Franciskát, s ettől lett ez a konfliktus, ugye?|vago
long\long_002_Az_Arénában_már_várja_önöket_Vágó_István.wav|Az Arénában már várja önöket Vágó István.|vago
long\long_003_De_ez_biztos_hogy_azért_van_merthogy_nagyon_sokféleképpen_pr.wav|De ez biztos, hogy azért van, merthogy nagyon sokféleképpen próbáljuk ám önöket behálózni.|vago
long\long_004_És_én_teljesen_természetesnek_tartom_hogy_minél_többen_szere.wav|És én teljesen természetesnek tartom, hogy minél többen szeretnék itt tapasztalni, hogy hogyan segíthetnek annak, aki nagyon magasra tör.|vago
long\long_005_Legutoljára_például_azt_kérdeztük_hogy_melyik_történelmi_ala.wav|Legutoljára például azt kérdeztük, hogy melyik történelmi alak nem szerepel Erkel Ferenc valamelyik zeneművében-- zeneművének címében.|vago
long\long_006_Nos_Bocskai_Istvánról_nem_írt_Erkel_operát_tehát_a_válasz_az.wav|Nos, Bocskai Istvánról nem írt Erkel operát, tehát a válasz az volt, hogy D.|vago
long\long_007_Itt_az_új_kérdés_Melyik_magyar_utazó_tárgyalt_a_holland_korm.wav|Itt az új kérdés: Melyik magyar utazó tárgyalt a holland kormány követeként Japánban?|vago
long\long_008_És_itt_van_négy_utazó_Teleki_Sámuel_Kőrösi-Csomó_Sándor_Vámb.wav|És itt van négy utazó: Teleki Sámuel, Kőrösi-Csomó Sándor, Vámbéry Ármin és Jelki András.|vago
long\long_009_A_wwwrtlklubhu_nevű_honlapunkon_ugyancsak_klikkelhetnek.wav|A www.rtlklub.hu nevű honlapunkon ugyancsak klikkelhetnek.|vago
long\long_010_Vagy_hogyha_úgy_tetszik_akkor_itt_van_továbbra_is_a_telefons.wav|Vagy hogyha úgy tetszik, akkor itt van továbbra is a telefonszám 0690-443-444.|vago
long\long_011_Itt_nemsokára_arról_is_kiderül_hogy_ki_lesz_az_első_játszótá.wav|Itt nemsokára arról is kiderül, hogy ki lesz az első játszótársam ma ebben a játékban.|vago
long\long_012_Tegyék_megépítésük_időrendjébe_a_következő_híres_hajókat.wav|Tegyék megépítésük időrendjébe a következő híres hajókat.|vago
long\long_013_És_D_Mayflower.wav|És D) Mayflower.|vago
